"postTitle","postDescription","text","likesCount","facebookUrl"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Yo Randi ko xoro Lai follow garne KO Hola yasto desh drohi kp ko xoro Muji Randi ko xoro talai dekher yati ris uthx ni","2","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Qr bata nikalum na mananiya jui😀","1","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Comment box here ko comment garna maan lage na 🙂","1","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"मतलव तु पागल है😀","0","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"Samsadha ma bolda tali padkau padkau 👏👏👏👏 lagdo bolene. Fb ma bolda gala padkau padkau bolne tapae……","3","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"बाइक चलाउदा हैन होला अध्यक्ष ज्यु , एक हातले मोबाइल चलाउदै अर्को हातले बाइक चलाउदा चाहि दुर्घटना हुन्छ फेरि दुर्घटनामा नपरुन भनेर सजक गराएका हुन का नेपाली जनताले , कुरो बुझ्न परो 🥰","61","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"नेता भएर बाइक चलाउ,साइकल चलाउ,कार चलाउ मतलब भएन 😎तर नियम उलंघन नगरी चलाउ ।","20","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"गाडी होइन साइकल चढ्नुस्। माननीय ज्यू वातावरण मैत्री पनि हुन्छ अरुले घोडा चढे तपाईँ पनि घोडा नै चढ्ने होर","21","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"सांसदजस्तो गरिमामय पदमा रहेका व्यक्तिले नै ट्राफिक नियम उल्लङ्घन गरेको अवस्थामा सम्बन्धित निकायले प्रमाणका आधारमा आवश्यक कारबाही गर्नुपर्छ। त्यसैले यस घटनाको प्रमाणसहित सम्बन्धित ट्राफिक प्रहरी कार्यालयलाई निष्पक्ष छानबिन गरी कानुनअनुसार कारबाही गर्न अनुरोध गर्दछु।
यदि सर्वसाधारण नागरिकलाई मात्र कारबाही गर्ने र पद तथा पहुँचका आधारमा छुट दिने हो भने जनताले कानुनप्रति विश्वास गुमाउँछन्। कानुन सबैका लागि समान हो भन्ने सन्देश दिन पनि दोषी जोसुकै भए पनि कारबाही हुन आवश्यक छ। जनप्रतिनिधिबाट नै नियम पालना र अनुशासनको उदाहरण प्रस्तुत हुनुपर्छ, किनकि जनताले आफ्ना नेताबाट नै राम्रो शिक्षा र व्यवहार सिक्ने गर्दछन्।","8","https://www.facebook.com/share/p/18JfnaJorD/"
"अब मलाई नि security सहितको सरकारी गाडी चाहियो है, रास्वपा सर्कार ! Bike कुदाउँदा साह्रै खिसीटिउरी गरे तिम्रा समरठोकहरुले 🤣🤣🤣 ! नेता भा र बाइक चढ्ने ? भन्दै उडाए !",,"बाइक चलाएर होइन ट्राफिक नियम पालना नगरेर हो माननिय ज्यु
अनि अर्को कुरा सेक्युरिटि सहितको सरकारी गाडिको लागि त्यो सम्म पुग्ने हैसियत बनाउन सक्नुपर्छ","7","https://www.facebook.com/share/p/18JfnaJorD/"
